sentence_id	text_a	text_b	pair_label	tagging_label	text_label
200505205512100035_2_5x1	也 由 于 他 父 亲 常 常 会 带 他 去 和 三 五 朋 友 下 棋 ， 因 此 他 对 于 下 棋 有 着 浓 厚 的 感 性 ， 不 论 是 中 国 象 棋 或 是 西 洋 棋 ， 也 因 为 他 的 热 爱 而 每 天 不 断 去 接 触 ， 最 后 他 曾 代 替 我 们 学 校 去 和 其 他 友 校 进 行 切 磋 、 比 赛 ， 并 取 得 了 不 错 的 成 绩 。	NONE	NONE	C C C C C C C C C C C C C C C S S C C C C C C C C C C C C C C C S S C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C S S C C C C C C C C C C C C C C C C C C C C C C C C C C C C	也 由 于 他 父 亲 常 常 会 带 他 去 和 三 五 好 友 下 棋 ， 因 此 他 对 于 下 棋 有 着 浓 厚 的 兴 趣 ， 不 论 是 中 国 象 棋 或 是 西 洋 棋 ， 也 因 为 他 的 热 爱 而 每 天 不 断 去 接 触 ， 最 后 他 曾 代 表 我 们 学 校 去 和 其 他 友 校 进 行 切 磋 、 比 赛 ， 并 取 得 了 不 错 的 成 绩 。
200505522522110024_2_5x1	比 如 说 是 生 活 方 式 不 同 ， 吃 的 东 西 都 会 有 区 别 。	NONE	NONE	C C C R C C C C C C C C C C C C C C C C C	比 如 说 生 活 方 式 不 同 ， 吃 的 东 西 都 会 有 区 别 。
200307109523200372_2_4x2	关 键 是 不 是 用 不 用 化 肥 的 问 题 , 而 是 生 产 集 中 ， 分 得 不 公 的 问 题 。 有 些 发 达 国 家 农 业 产 量 过 多 必 要 出 口 ， 可 是 有 些 国 家 农 业 产 量 一 直 不 够 ， 饥 饿 。	NONE	NONE	C C R C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C S S C C C C C C C C C C C C C C C C C C S S C	关 键 不 是 用 不 用 化 肥 的 问 题 , 而 是 生 产 集 中 ， 分 得 不 公 的 问 题 。 有 些 发 达 国 家 农 业 产 量 过 多 必 须 出 口 ， 可 是 有 些 国 家 农 业 产 量 一 直 不 够 ， 人 民 挨 饿 。
200209550523150242_2_1x1	首 先 ， 我 们 韩 国 人 的 看 法 就 是 古 代 孔 子 思 想 传 来 的 “ 长 幼 有 序 ” 来 解 决 才 好 ， 比 如 在 韩 国 让 老 人 理 解 年 青 人 这 可 提 出 很 多 问 题 ， 所 以 在 韩 国 年 青 人 理 解 老 人 是 有 理 有 条 的 。	NONE	NONE	C C C C C C C C C C C C C M C C C C C R R R C C C C C C C C C C C C C C C C C C C C C C C C C R S S S C C C C C C C C C C C C C C C C C C S S S S C C	首 先 ， 我 们 韩 国 人 的 看 法 就 是 用 古 代 孔 子 思 想 “ 长 幼 有 序 ” 来 解 决 才 好 ， 比 如 在 韩 国 让 老 人 理 解 年 青 人 会 产 生 很 多 问 题 ， 所 以 在 韩 国 年 青 人 理 解 老 人 是 理 所 当 然 的 。
200209550523250981_2_1x1	我 和 妈 妈 是 不 像 别 的 母 女 。	NONE	NONE	C C C C R C C C C C C C	我 和 妈 妈 不 像 别 的 母 女 。
200310540540250023_2_1x3	最 有 效 的 阅 读 当 然 是 阅 读 之 前 采 选 对 于 本 身 最 有 用 的 书 籍 。 要 仔 细 考 虑 将 阅 读 的 书 籍 是 否 对 于 本 身 有 益 。 然 后 再 认 真 阅 读 以 及 细 细 的 印 入 脑 海 中 ， 当 知 识 宝 藏 。	NONE	NONE	C C C C C C C C C C C C C C C C R S S C C C C C C C C C C C C C C C C C C C C C R S S C C C C C C C C C C S S S S C C C C C C C S C C C C C	最 有 效 的 阅 读 当 然 是 阅 读 之 前 采 选 对 自 己 最 有 用 的 书 籍 。 要 仔 细 考 虑 将 阅 读 的 书 籍 是 否 对 自 己 有 益 。 然 后 再 认 真 阅 读 并 慢 慢 的 印 入 脑 海 中 ， 当 作 知 识 宝 藏 。
200410534519150074_2_1x1	无 疑 的 ， 人 生 知 己 难 求 ， 如 能 在 小 时 有 所 发 现 ， 长 大 后 又 懂 得 珍 惜 ， 这 必 将 让 男 女 的 相 识 与 结 合 更 为 完 善 ， 日 后 婚 姻 也 美 满 。	NONE	NONE	C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C S S C C C C C C M C C	无 疑 的 ， 人 生 知 己 难 求 ， 如 能 在 小 时 有 所 发 现 ， 长 大 后 又 懂 得 珍 惜 ， 这 必 将 让 男 女 的 相 识 与 结 合 更 为 完 美 ， 日 后 婚 姻 也 更 美 满 。
200307109523200357_2_4x1	他 们 也 都 是 没 有 使 用 化 肥 和 农 药 但 是 也 有 很 多 的 粮 食 生 产 出 来 , 这 里 就 有 原 因 。	NONE	NONE	C C C C R C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C	他 们 也 都 没 有 使 用 化 肥 和 农 药 但 是 也 有 很 多 的 粮 食 生 产 出 来 , 这 里 就 有 原 因 。
200209550523150038_2_3x1	比 如 说 ， 在 家 里 父 母 和 子 女 之 间 的 生 活 中 经 常 发 生 了 这 个 问 题 ： 父 母 要 他 们 的 孩 子 早 点 回 家 。	NONE	NONE	C C C C C C C C C C C C R R C C C C C C C C R C C C C C C C C C C C C C C C C C C	比 如 说 ， 在 家 里 父 母 和 子 女 的 生 活 中 经 常 发 生 这 个 问 题 ： 父 母 要 他 们 的 孩 子 早 点 回 家 。
200210540540250019_2_1x1	我 们 家 是 一 个 开 明 的 家 ， 刚 巧 我 们 一 家 九 口 人 都 有 机 会 读 书 “ 知 书 识 礼 ” 的 “ 书 香 之 家 ” 。	NONE	NONE	C C C C C C C C C C C C C C C C C C C C C C C C C C M C C C C C C C C C C C C C	我 们 家 是 一 个 开 明 的 家 ， 刚 巧 我 们 一 家 九 口 人 都 有 机 会 读 书 ， 我 们 家 是 个 “ 知 书 识 礼 ” 的 “ 书 香 之 家 ” 。
200205212525200002_2_1x1	现 在 ， 不 管 在 中 国 发 生 的 那 种 件 事 ， 还 在 全 世 界 也 发 生 过 好 几 个 件 。	NONE	NONE	C C C S S C C C C C R C R C C C C C C C C C C C C C C R C C	现 在 ， 不 仅 在 中 国 发 生 那 件 事 ， 还 在 全 世 界 也 发 生 过 好 几 件 。
200307109523200613_2_1x1	不 使 用 化 肥 和 农 药 可 以 生 成 更 好 的 食 品 ， 使 用 化 肥 和 农 药 可 以 大 大 提 高 生 产 率 ， 但 用 化 肥 和 农 药 的 农 作 物 会 在 耕 作 过 程 中 受 到 不 同 程 度 的 污 染 对 人 体 有 害 。	NONE	NONE	C C C C C C C C C C S S C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C	不 使 用 化 肥 和 农 药 可 以 生 产 更 好 的 食 品 ， 使 用 化 肥 和 农 药 可 以 大 大 提 高 生 产 率 ， 但 用 化 肥 和 农 药 的 农 作 物 会 在 耕 作 过 程 中 受 到 不 同 程 度 的 污 染 对 人 体 有 害 。
200307109523100538_2_1x1	在 过 去 的 农 业 社 会 上 ， 最 重 要 的 问 题 是 解 决 饥 饿 的 问 题 。	NONE	NONE	C C C C C C C C S C C C C C C C C C C C C C C C C	在 过 去 的 农 业 社 会 中 ， 最 重 要 的 问 题 是 解 决 饥 饿 的 问 题 。
200307212523100043_2_1x1	我 们 每 个 人 都 明 白 , 世 界 正 在 飞 快 地 发 展 , 近 几 年 来 我 们 的 工 业 得 到 了 明 显 的 进 步 , 并 科 学 技 术 也 正 在 飞 速 地 发 展 。	NONE	NONE	C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C S C C C C C C C C C C C C C	我 们 每 个 人 都 明 白 , 世 界 正 在 飞 快 地 发 展 , 近 几 年 来 我 们 的 工 业 得 到 了 明 显 的 进 步 , 并 且 科 学 技 术 也 正 在 飞 速 地 发 展 。
200105205919100022_2_2x4	我 的 脑 海 都 是 我 过 去 在 一 起 的 时 间 。 我 想 到 了 在 维 多 利 亚 的 那 蓝 蓝 的 大 海 ， 当 太 阳 把 它 的 余 光 送 给 了 大 海 时 那 个 影 又 再 回 九 年 前 在 维 多 利 找 到 家 的 那 一 天 。 在 一 万 多 公 里 之 外 找 到 自 己 的 是 不 可 能 的 但 对 我 来 说 是 可 的 ！ 对 我 来 说 不 但 是 可 能 的 我 还 找 到 过 两 次 ， 那 远 离 我 家 乡 的 家 ！	NONE	NONE	C C C C M C S C C C C C C S S C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C S C R C M C C C C C C C C C C C C C C C C C C C C C C C C C C C M C C C C C C C C C C S C C C C C C C C C C C C M C C C C C C C C C C C C C C C C	我 的 脑 海 里 都 是 我 们 过 去 在 一 起 的 时 光 。 我 想 到 了 在 维 多 利 亚 的 那 蓝 蓝 的 大 海 ， 当 太 阳 把 它 的 余 光 送 给 了 大 海 时 那 个 影 子 又 回 到 了 九 年 前 在 维 多 利 找 到 家 的 那 一 天 。 在 一 万 多 公 里 之 外 找 到 自 己 的 家 是 不 可 能 的 但 对 我 来 说 是 可 能 的 ！ 对 我 来 说 不 但 是 可 能 的 而 且 我 还 找 到 过 两 次 ， 那 远 离 我 家 乡 的 家 ！
200505109525101108_2_2x1	我 在 八 岁 的 时 候 ， 我 在 商 店 里 偷 了 一 个 小 商 品 。	NONE	NONE	C C C C C C C C R C C C C C C C C C C C C	我 在 八 岁 的 时 候 ， 在 商 店 里 偷 了 一 个 小 商 品 。
200510111523100862_2_1x1	所 以 像 上 述 的 情 况 那 样 追 星 的 行 为 是 年 青 人 不 要 做 的 , 而 且 治 其 病 的 方 法 是 只 有 自 己 调 整 自 己 的 。	NONE	NONE	C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C R C	所 以 像 上 述 的 情 况 那 样 追 星 的 行 为 是 年 青 人 不 要 做 的 , 而 且 治 其 病 的 方 法 是 只 有 自 己 调 整 自 己 。
200210540519250049_2_5x2	或 者 是 男 女 感 情 问 题 时 ， 多 给 心 理 的 建 议 及 开 导 。 做 父 母 的 是 要 多 主 动 去 跟 孩 子 沟 通 。	NONE	NONE	C C C M C C C C C C C C C C C M C C C C C C C C C C R C C C C C C C C C C C	或 者 是 出 现 男 女 感 情 问 题 时 ， 多 给 心 理 上 的 建 议 及 开 导 。 做 父 母 的 要 多 主 动 去 跟 孩 子 沟 通 。
200307302525100075_2_2x3	不 过 假 如 我 想 像 从 今 天 食 品 突 然 没 了 ， 那 我 应 该 后 悔 。 因 此 ， 我 认 为 人 人 得 省 得 浪 费 食 品 。 尤 其 是 饮 食 的 东 西 最 丰 富 的 时 候 ， 很 注 意 。	NONE	NONE	C C C C C C C C C C M C C C C C C C C C C M C C C C C C C C C C C S S C C C C C C C C C C C C C C C C C C C C R C C C	不 过 假 如 我 想 像 从 今 天 开 始 食 品 突 然 没 了 ， 那 我 应 该 会 后 悔 。 因 此 ， 我 认 为 人 人 得 避 免 浪 费 食 品 。 尤 其 是 饮 食 的 东 西 最 丰 富 的 时 候 ， 更 应 该 注 意 。
200209550523150242_2_1x1	再 说 ， 现 在 激 变 的 社 会 环 境 下 出 现 的 科 学 ， 技 术 方 面 的 话 ， 按 照 年 青 人 的 建 议 来 办 是 合 算 的 。	NONE	NONE	S S C C C C C C C C C C C C C C C C C C C C C M C C C C C C C C C C C C C S S C C	另 外 ， 现 在 激 变 的 社 会 环 境 下 出 现 的 科 学 ， 技 术 方 面 的 问 题 的 话 ， 按 照 年 青 人 的 建 议 来 办 是 合 理 的 。
200105550523250353_2_3x1	这 是 第 一 次 给 你 写 信 的 吧 。	NONE	NONE	C C C C C C C C C R C C	这 是 第 一 次 给 你 写 信 吧 。
200405204525100339_2_1x2	很 多 人 知 道 吸 烟 是 对 个 人 健 康 带 来 不 好 的 影 响 。 可 是 很 少 人 知 道 吸 烟 不 仅 仅 给 吸 烟 者 带 来 对 健 康 的 不 利 , 还 有 给 对 旁 边 吸 到 吸 烟 者 吐 出 来 的 烟 的 不 吸 烟 者 也 带 来 不 好 的 影 响 。	NONE	NONE	C C C C C C C S S C C C C C C C C C C C C C C C C C C C C C C C C M C C C C C C C C C C C M C R C R C C C C C C C C C C C C C C C C C C C C C C C C C C	很 多 人 知 道 吸 烟 会 给 个 人 健 康 带 来 不 好 的 影 响 。 可 是 很 少 人 知 道 吸 烟 不 仅 仅 会 给 吸 烟 者 带 来 对 健 康 的 不 利 影 响 , 还 会 给 旁 边 吸 到 吸 烟 者 吐 出 来 的 烟 的 不 吸 烟 者 也 带 来 不 好 的 影 响 。
200405109525200482_2_2x1	据 说 ， 烟 有 害 无 利 ， 抽 烟 不 仅 对 抽 烟 者 的 身 体 有 害 ， 而 且 对 周 围 者 的 身 体 更 有 害 。	NONE	NONE	C C C C C C C C C C C C C C C C C C C C C C C C C C C C S C C C C C C C	据 说 ， 烟 有 害 无 利 ， 抽 烟 不 仅 对 抽 烟 者 的 身 体 有 害 ， 而 且 对 周 围 人 的 身 体 更 有 害 。
200205206525100034_2_1x1	如 果 我 在 丈 夫 的 立 场 上 ， 绝 对 不 会 让 大 夫 杀 妻 子 。	NONE	NONE	C C C M C C C C C C C C C C C C C C C C C C	如 果 我 处 在 丈 夫 的 立 场 上 ， 绝 对 不 会 让 大 夫 杀 妻 子 。
200105550523250010_2_2x1	我 在 汉 城 已 经 一 年 多 个 月 了 。	NONE	NONE	C C C C C C C C C R R C C	我 在 汉 城 已 经 一 年 多 了 。
200410534533250130_2_2x1	他 们 随 着 岁 月 的 过 去 逐 渐 了 解 对 方 ， 而 不 是 经 过 了 几 个 月 的 认 识 后 便 盲 目 拜 上 堂 。	NONE	NONE	C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C R C C	他 们 随 着 岁 月 的 过 去 逐 渐 了 解 对 方 ， 而 不 是 经 过 了 几 个 月 的 认 识 后 便 盲 目 拜 堂 。
200105550523150007_2_1x2	您 您 好 ！ 寒 冷 的 冬 天 早 已 过 去 ， 已 经 是 百 花 乱 眼 的 五 月 了 ， 不 知 您 两 位 也 像 外 面 的 天 气 一 样 过 着 清 爽 的 生 活 。	NONE	NONE	C S C C C C C C C C C C C C C C C C C C C C C C C C C C C C C M C C C C C C C C C C C C C C C C	您 们 好 ！ 寒 冷 的 冬 天 早 已 过 去 ， 已 经 是 百 花 乱 眼 的 五 月 了 ， 不 知 您 两 位 是 否 也 像 外 面 的 天 气 一 样 过 着 清 爽 的 生 活 。
200105550523250146_2_1x1	我 很 明 知 你 们 现 在 多 么 困 难 ， 多 么 辛 苦 。	NONE	NONE	C R C C C C C C C C C C C C C C C C	我 明 知 你 们 现 在 多 么 困 难 ， 多 么 辛 苦 。
200105206627100050_2_7x2	怎 么 说 ， 最 后 的 皇 帝 候 ， 孙 中 山 和 国 民 党 公 布 新 的 法 律 ， 所 以 我 觉 得 他 为 了 中 国 的 进 步 有 影 响 。 无 论 结 果 不 好 ， 杀 了 很 多 共 产 党 员 ， 腐 败 的 政 府 。	NONE	NONE	C C C C C C C C C S C C C C C C C C C C M C C C C C C C C C C S S C C C C C C C C C S S C C M C C C C C C C C C C C M C C C C C	怎 么 说 ， 最 后 的 皇 帝 的 时 候 ， 孙 中 山 和 国 民 党 公 布 了 新 的 法 律 ， 所 以 我 觉 得 他 对 中 国 的 进 步 有 影 响 。 虽 然 结 果 不 好 ， 杀 了 很 多 共 产 党 员 ， 变 成 了 腐 败 的 政 府 。
200510302523200239_2_5x1	我 觉 得 在 天 天 像 洪 水 一 样 新 出 世 的 歌 曲 当 中 ， 不 广 告 不 宣 传 会 淘 汰 看 不 到 阳 光 就 消 息 。	NONE	NONE	C C C C C C C C C C C C S S C C C C C C C M C C C C C M C C C C C C C S S C	我 觉 得 在 天 天 像 洪 水 一 样 新 出 现 的 歌 曲 当 中 ， 不 打 广 告 不 宣 传 会 被 淘 汰 看 不 到 阳 光 就 消 失 。
200105205525100020_2_8x1	然 后 我 开 始 吃 饭 ， 正 好 我 走 的 时 候 ， 发 生 “ 奇 迹 ” 了 ！	NONE	NONE	C C C C C C C C S S C M C C C C C C C C C C C C	然 后 我 开 始 吃 饭 ， 正 当 我 要 走 的 时 候 ， 发 生 “ 奇 迹 ” 了 ！
200510111523201036_2_3x1	” 十 中 八 九 是 关 于 爱 情 的 。	NONE	NONE	C C S C C C C C C C C C	” 十 之 八 九 是 关 于 爱 情 的 。
200405109523201839_2_1x2	我 对 吸 烟 这 个 行 为 十 分 反 对 ， 我 认 为 卖 烟 者 和 吸 烟 者 两 者 者 都 有 责 任 ， 因 为 吸 烟 对 个 人 健 康 和 公 众 利 益 的 影 响 格 外 严 重 。 我 也 是 一 个 吸 烟 者 ， 却 这 样 说 话 觉 得 有 点 矛 盾 ， 我 试 过 很 多 次 戒 烟 ， 但 一 旦 习 惯 了 难 以 戒 烟 。	NONE	NONE	C C C C C C C C C C C C C C C C C C C C C C C C C R C C C C C C C C C C C C C C C C C C C C C C S S C C C C C C C C C C C C C C C C C M C C C C C C C C C C C C C C C C C C C C C M C C C C	我 对 吸 烟 这 个 行 为 十 分 反 对 ， 我 认 为 卖 烟 者 和 吸 烟 者 两 者 都 有 责 任 ， 因 为 吸 烟 对 个 人 健 康 和 公 众 利 益 的 影 响 非 常 严 重 。 我 也 是 一 个 吸 烟 者 ， 却 这 样 说 话 ， 觉 得 有 点 矛 盾 ， 我 试 过 很 多 次 戒 烟 ， 但 一 旦 习 惯 了 就 难 以 戒 烟 。
200310540540150040_2_1x1	读 书 写 字 ， 是 我 们 学 习 各 种 文 化 都 必 须 掌 握 的 基 本 条 件 。	NONE	NONE	C C C C C C C C C C C C C C C C C C C C C C S S C	读 书 写 字 ， 是 我 们 学 习 各 种 文 化 都 必 须 掌 握 的 基 本 本 领 。
200505332512100046_2_2x1	虽 然 是 这 样 的 话 ， 父 母 亲 不 一 定 能 影 响 一 个 孩 子 的 一 辈 子 。	NONE	NONE	C C C C C R R C M C C C C C C C C C C C C C C C C C	虽 然 是 这 样 ， 但 父 母 亲 不 一 定 能 影 响 一 个 孩 子 的 一 辈 子 。
200405219635200007_2_13x1	禁 止 在 公 共 场 所 吸 烟 的 措 施 ， 禁 止 给 孩 子 卖 烟 的 主 意 ， 所 有 可 以 帮 助 市 民 保 持 更 健 康 生 态 的 措 施 都 是 非 常 有 用 的 ， 而 且 可 以 说 是 需 要 的 。	NONE	NONE	C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C S S C C C C C C C C C C C C C C C C C S S C C	禁 止 在 公 共 场 所 吸 烟 的 措 施 ， 禁 止 给 孩 子 卖 烟 的 主 意 ， 所 有 可 以 帮 助 市 民 保 持 更 健 康 生 活 的 措 施 都 是 非 常 有 用 的 ， 而 且 可 以 说 是 必 要 的 。
200307205525200029_2_4x4	人 类 在 几 十 年 里 研 究 出 来 的 结 果 是 往 往 胜 不 过 地 球 、 大 自 然 的 力 量 。 可 是 人 类 在 自 己 的 研 究 当 中 可 以 找 到 一 些 自 然 微 妙 秘 密 。 人 可 以 在 继 续 研 究 大 自 然 的 大 力 量 的 原 因 。 总 有 一 天 会 发 现 对 人 类 没 有 无 污 染 的 农 作 物 。	NONE	NONE	C C C C C C C C C C C C C C R C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C M C C C C C R C C C C C C C C C C C C C C C C C C C C C C C C C C C R C C C C C C C	人 类 在 几 十 年 里 研 究 出 来 的 结 果 往 往 胜 不 过 地 球 、 大 自 然 的 力 量 。 可 是 人 类 在 自 己 的 研 究 当 中 可 以 找 到 一 些 自 然 微 妙 的 秘 密 。 人 可 以 继 续 研 究 大 自 然 的 大 力 量 的 原 因 。 总 有 一 天 会 发 现 对 人 类 没 有 污 染 的 农 作 物 。
200307109525100114_2_3x3	过 多 的 化 肥 不 但 消 灭 昆 虫 ， 而 且 对 人 类 身 体 引 起 不 好 的 作 用 。 所 以 适 当 地 使 用 它 吧 ！ 我 们 必 须 把 这 种 观 念 告 诉 农 作 物 制 造 者 ， 即 农 民 不 要 化 肥 使 用 地 太 多 ， 适 应 就 足 够 了 。	NONE	NONE	C C C C C C C M C C C C C C C C C C C S S C C C C C C C C S S C C C C C C C C C C C C C C C S S M C C S S S C C C C C C M C C C C C C C C C C C C C C	过 多 的 化 肥 不 但 不 会 消 灭 昆 虫 ， 而 且 对 人 类 的 身 体 也 会 产 生 不 好 的 影 响 。 所 以 适 量 地 使 用 它 吧 ！ 我 们 必 须 把 这 种 观 念 灌 输 给 农 作 物 生 产 者 ， 即 农 民 不 要 把 化 肥 使 用 地 太 多 ， 适 量 就 足 够 了 。
200307205525100177_2_5x1	所 以 吃 未 经 污 染 的 农 产 品 加 工 的 食 品 。 叫 做 “ 绿 色 食 品 ” 的 重 要 性 是 很 明 显 的 。	NONE	NONE	C C C C C C C C C C C C C C C C C R R C C C C C C C C C C C C C C C C	所 以 吃 未 经 污 染 的 农 产 品 加 工 的 食 品 。 “ 绿 色 食 品 ” 的 重 要 性 是 很 明 显 的 。
200209550523250008_2_5x1	但 是 这 个 方 式 已 经 是 一 般 的 ， 她 每 次 我 打 电 话 的 时 候 ， 批 评 我 ， 是 不 是 太 过 分 ？	NONE	NONE	C C C C C C C C C C C C C C C C M C C C C C C C C C C C C C C C C C C	但 是 这 个 方 式 已 经 是 一 般 的 ， 她 每 次 给 我 打 电 话 的 时 候 ， 批 评 我 ， 是 不 是 太 过 分 ？
200510111542201697_2_1x1	对 于 不 同 的 年 代 有 不 同 的 看 法 。	NONE	NONE	R R C C C C C M C C C C C C	不 同 的 年 代 的 人 有 不 同 的 看 法 。
200307302523100050_2_1x1	有 农 作 物 的 生 长 过 程 中 ， 如 果 使 用 化 肥 和 农 药 ， 产 量 就 会 大 大 提 高 ， 但 农 作 物 会 受 到 不 同 程 度 的 化 学 污 染 ， 吃 了 会 有 害 于 人 的 健 康 ， 如 果 不 用 化 肥 和 农 药 ， 农 作 物 产 量 大 大 降 低 ， 而 现 在 世 界 上 还 有 几 亿 人 因 缺 少 粮 食 而 挨 饿 。	NONE	NONE	S C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C M C C C C C C C C C C C C C C C C C C C C C C C C	在 农 作 物 的 生 长 过 程 中 ， 如 果 使 用 化 肥 和 农 药 ， 产 量 就 会 大 大 提 高 ， 但 农 作 物 会 受 到 不 同 程 度 的 化 学 污 染 ， 吃 了 会 有 害 于 人 的 健 康 ， 如 果 不 用 化 肥 和 农 药 ， 农 作 物 产 量 就 会 大 大 降 低 ， 而 现 在 世 界 上 还 有 几 亿 人 因 缺 少 粮 食 而 挨 饿 。
200105550523150048_2_3x1	学 这 篇 文 章 时 又 想 起 来 了 您 们 。	NONE	NONE	C C C C C C C C C R C C C C	学 这 篇 文 章 时 又 想 起 了 您 们 。
